Name;alpha-3;region;sub-region;intermediate-region
Afghanistan;AFG;Asia;Southern Asia;
Albania;ALB;Europe;Southern Europe;
Algeria;DZA;Africa;Northern Africa;
American Samoa;ASM;Oceania;Polynesia;
Andorra;AND;Europe;Southern Europe;
Angola;AGO;Africa;Sub-Saharan Africa;Middle Africa
Antigua and Barbuda;ATG;Americas;Latin America and the Caribbean;Caribbean
Argentina;ARG;Americas;Latin America and the Caribbean;South America
Armenia;ARM;Asia;Western Asia;
Aruba;ABW;Americas;Latin America and the Caribbean;Caribbean
Australia;AUS;Oceania;Australia and New Zealand;
Austria;AUT;Europe;Western Europe;
Azerbaijan;AZE;Asia;Western Asia;
Bahamas;BHS;Americas;Latin America and the Caribbean;Caribbean
Bahrain;BHR;Asia;Western Asia;
Bangladesh;BGD;Asia;Southern Asia;
Barbados;BRB;Americas;Latin America and the Caribbean;Caribbean
Belarus;BLR;Europe;Eastern Europe;
Belgium;BEL;Europe;Western Europe;
Belize;BLZ;Americas;Latin America and the Caribbean;Central America
Benin;BEN;Africa;Sub-Saharan Africa;Western Africa
Bermuda;BMU;Americas;Northern America;
Bhutan;BTN;Asia;Southern Asia;
Bolivia;BOL;Americas;Latin America and the Caribbean;South America
Bosnia and Herzegovina;BIH;Europe;Southern Europe;
Botswana;BWA;Africa;Sub-Saharan Africa;Southern Africa
Brazil;BRA;Americas;Latin America and the Caribbean;South America
Brunei;BRN;Asia;South-eastern Asia;
Bulgaria;BGR;Europe;Eastern Europe;
Burkina Faso;BFA;Africa;Sub-Saharan Africa;Western Africa
Burundi;BDI;Africa;Sub-Saharan Africa;Eastern Africa
Cambodia;KHM;Asia;South-eastern Asia;
Cameroon;CMR;Africa;Sub-Saharan Africa;Middle Africa
Canada;CAN;Americas;Northern America;
Cape Verde;CPV;Africa;Sub-Saharan Africa;Western Africa
Cayman Islands;CYM;Americas;Latin America and the Caribbean;Caribbean
Central African Republic;CAF;Africa;Sub-Saharan Africa;Middle Africa
Chad;TCD;Africa;Sub-Saharan Africa;Middle Africa
Chile;CHL;Americas;Latin America and the Caribbean;South America
China;CHN;Asia;Eastern Asia;
Colombia;COL;Americas;Latin America and the Caribbean;South America
Comoros;COM;Africa;Sub-Saharan Africa;Eastern Africa
Cook Islands;COK;Oceania;Polynesia;
Costa Rica;CRI;Americas;Latin America and the Caribbean;Central America
Croatia;HRV;Europe;Southern Europe;
